"Timestamp","Student's ID","Gender","Bac II's Overall Grade","Bac II Mathematics Grade","Department","Do you have difficulties engaging in your online classes during this Covid-19 outbreak?","What kind of difficulties do you commonly have during this period?","I gather with friends to study mathematics as a group.","I seek advice or explanation from my friends, seniors or those who know more about mathematics problems outside formal class hours.","I try to start my homework immediately after math class.","I have a specific time to study mathematics.","I am careful to keep up-to-date with math homework.","I study math eight to ten hours a week besides classroom hours.","I attend math tutor sessions regularly.","I read my math textbook before coming to class.","If I have trouble understanding the text, I find an alternate text or books.","I take notes during my mathematics classes.","I am careful to copy all the steps of math problems in my notes.","I ask questions when I am confused.","I go to the instructor or tutor center when I am confused.","I try to determine exactly when I got confused and exactly what confused me.","I review my notes and text before beginning the homework.","I work problems until I understand them, not just until I get the answers listed in the back of the book.","I develop memory techniques to remember math concepts.","Sought advice from academic staff including lecturers and/or consulting adviser (via Telegram or during online classes...)","Made a class or online presentation on your assigned work.","Worked hard to master difficult contents or lessons in your classes.","Used library resources on campus or online to do your work or expand your horizons.","Worked on an assignment (TD/TP) that required integrating ideas or information from various sources.","Worked with other students on teamwork/projects during class.","Worked with other students outside class to prepare assignments (either during online classes or personal hours).","Used an online learning system to discuss or complete an assignment.","Discussed your grades or assignments with lecturers.","Talked about your career plans or choosing department or majors with friends, seniors, lecturers or advisors.","Discussed ideas from your readings or classes with lecturers outside class.","Received prompt written or oral feedback from lecturers on your academic performance.","Worked harder than you thought you could to meet your lecturers’ standards or expectations.","Discussed ideas from your readings or classes with others outside class (e.g. friends, seniors, lecturers etc.)","I always prepare myself well for my math classes, tests and quizzes.","I often motivate myself to get a good score in math.","I always pay full attention during my math classes.","Mathematics is important for my study and future career.","I feel confident in my abilities to solve mathematics problems.","I can understand my math teacher’s explanation easily.","I spend lots of time to practice mathematics or work on assignments.","I would prefer to write a math assignment than write an essay.","I believe studying of math helps me with problem solving in other subjects.","I like to solve new problems in mathematics.","I am happier in a math class than in any other classes.","It would not bother me at all to take more math courses.","I have usually been at ease during math test.","I have usually been at ease during math course.","I often feel tense and bored in my mathematics class.","I always feel nervous in quizzes or exams of math.","I don’t like working on the homework given by my mathematics teacher.","I am not eager to participate in discussions that involve mathematics.","I get a sinking feeling when I think of trying hard math problems.","My mind goes blank and I am unable to think clearly when working mathematics.","Mathematics makes me feel uneasy and confused.","I feel more nervous and anxious than usual.","I feel afraid for no reason at all.","I get upset easily or feel panicky.","I feel like I’m falling apart and going to pieces.","I feel that everything is all right and nothing bad will happen.","My arms and legs shake and tremble.","I am bothered by headaches neck and back pain.","I feel weak and get tired easily."," I feel calm and can sit still easily.","I can feel my heart beating fast.","I am bothered by dizzy spells.","I have fainting spells or feel like it.","I can breathe in and out easily.","I get numbness and tingling in my fingers and toes.","I am bothered by stomach aches or indigestion.","I have to empty my bladder often.","My hands are usually dry and warm.","My face gets hot and blushes.","I fall asleep easily and get a good night’s rest.","I have nightmares.","Semester 1: Calculus II","Semester 1: Probability and Statistics","Semester 1: Differential Equation","Annual Score"
"2021/08/15 9:40:57 AM GMT+7","e20190569","Male","B","B","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Rarely","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Sometimes","Always","Always","Always","Rarely","Sometimes","Always","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Often","Sometimes","Often","Very Often","Sometimes","Sometimes","Often","Often","Sometimes","Often","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","Some of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","85.11","81.3","93","78.61"
"2021/08/15 9:42:53 AM GMT+7","e20191258","Male","C","C","OAC","No","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Almost Never","Sometimes","Rarely","Rarely","Sometimes","Almost Never","Always","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Often","Never","Sometimes","Never","Often","Never","Sometimes","Never","Often","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Some of the time","A little of the time","Some of the time","Some of the time","Good part of the time","","Some of the time","Good part of the time","Some of the time","","","","Most of the time","A little of the time","A little of the time","A little of the time","","","Good part of the time","A little of the time","59.67","69.6","74.7","74.09"
"2021/08/15 9:49:05 AM GMT+7","e20190085","Male","B","A","GEE","Yes","Low internet speed (cannot hear/see well, ...);Adapt to online learning approach;Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Sometimes","Almost Never","Always","Always","Sometimes","Always","Sometimes","Sometimes","Rarely","Rarely","Never Even Thought of","Rarely","Always","Rarely","Sometimes","Sometimes","Very Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Very Often","Never","Never","Sometimes","Sometimes","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Good part of the time","A little of the time","Good part of the time","A little of the time","A little of the time","Some of the time","Good part of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Good part of the time","A little of the time","79.02","66.64","87.65","78.24"
"2021/08/15 9:49:56 AM GMT+7","e20190426","Male","C","C","GEE","Yes","Distraction (home environment, surrounding, people ...)","Sometimes","Always","Sometimes","Always","Always","Always","Always","Sometimes","Always","Always","Always","Sometimes","Sometimes","Sometimes","Always","Always","Always","Often","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Often","Never","Sometimes","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","Good part of the time","A little of the time","A little of the time","Some of the time","Most of the time","Some of the time","A little of the time","A little of the time","Most of the time","A little of the time","Good part of the time","A little of the time","59.27","41.03","57.98","54.51"
"2021/08/15 9:53:23 AM GMT+7","e20190057","Female","E","E","GIC","Yes","Someone always remove me from the meeting. ","Rarely","Sometimes","Rarely","Rarely","Sometimes","Rarely","Always","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Often","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Most of the time","Most of the time","Most of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Most of the time","69.25","51.25","74.3","61.95"
"2021/08/15 9:55:18 AM GMT+7","E20180704","Male","D","C","CGA","Yes","Low internet speed (cannot hear/see well, ...);Adapt to online learning approach;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...)","Always","Sometimes","Always","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Always","Always","Always","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Some of the time","A little of the time","A little of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","Good part of the time","Good part of the time","A little of the time","A little of the time","ខ្ញុំមានភាពងាយស្រួលក្នុងការរៀន","ខ្ញុំមានភាពងាយស្រួលក្នុងការរៀន","ខ្ញុំមានភាពងាយស្រួលក្នុងការរៀន","ខ្ញុំទទួលបានកម្រិតមធ្យម"
"2021/08/15 9:57:16 AM GMT+7","e20191248","Female","A","A","OAC","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Sometimes","Sometimes","Sometimes","Always","Rarely","Always","Rarely","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Sometimes","Never","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Some of the time","A little of the time","Most of the time","Some of the time","A little of the time","A little of the time","Some of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","87.22","76.95","78.3","78.11"
"2021/08/15 10:01:48 AM GMT+7","e20190479","Female","B","C","CGA","Yes","Online class is not interactive;Distraction (home environment, surrounding, people ...)","Rarely","Sometimes","Sometimes","Always","Sometimes","Sometimes","Always","Sometimes","Always","Always","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","A little of the time","Some of the time","A little of the time","A little of the time","Good part of the time","","Some of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","60.96","71.83","69.3","65.91"
"2021/08/15 10:05:55 AM GMT+7","e20190469","Male","B","A","CGA","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Rarely","Rarely","Always","Sometimes","Always","Rarely","Always","Sometimes","Always","Always","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Very Often","Often","Often","Often","Very Often","Very Often","Very Often","Very Often","Sometimes","Sometimes","Never","Sometimes","Often","Often","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Neutral","Agree","Agree","Agree","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Good part of the time","A little of the time","Some of the time","Good part of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","Good part of the time","A little of the time","83.22","82.80","74.30","75.62"
"2021/08/15 10:09:52 AM GMT+7","e20190394","Male","B","A","GCI","Yes","Online class is not interactive","Never Even Thought of","Sometimes","Always","Always","Always","Always","Always","Always","Always","Never Even Thought of","Always","Sometimes","Always","Always","Always","Always","Always","Sometimes","Very Often","Very Often","Sometimes","Very Often","Very Often","Very Often","Very Often","Very Often","Very Often","Very Often","Very Often","Very Often","Very Often","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","ល្អប្រសើរ","គ្មាន","គ្មាន","ល្អ"
"2021/08/15 10:11:15 AM GMT+7","E20190035","Male","B","C","GIM","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Rarely","Sometimes","Almost Never","Sometimes","Always","Rarely","Sometimes","Sometimes","Almost Never","Sometimes","Sometimes","Always","Rarely","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Often","Often","Often","Often","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Some of the time","Most of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","A little of the time","92.24","68.74","78.2","80.86"
"2021/08/15 10:12:05 AM GMT+7","e20190725","Male","C","C","OAC","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Almost Never","Sometimes","Always","Sometimes","Sometimes","Sometimes","Rarely","Always","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Almost Never","Rarely","Rarely","Sometimes","Often","Sometimes","Often","Sometimes","Very Often","Sometimes","Often","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","56","82.3","63","54"
"2021/08/15 10:16:24 AM GMT+7","e20190217","Male","C","C","CGA","Yes","Online class is not interactive","Almost Never","Almost Never","Almost Never","Almost Never","Almost Never","Almost Never","Never Even Thought of","Sometimes","Rarely","Sometimes","Almost Never","Almost Never","Rarely","Rarely","Almost Never","Rarely","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Good part of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","65","65","55","185"
